n,k,m,distance
4,3,16,3.3449765
4,3,17,3.4060185
4,3,18,3.4769995
4,3,19,3.5381745000000002
4,3,20,3.599822
4,3,21,3.648803
4,3,22,3.692459
4,3,23,3.7446295
4,3,24,3.7810735
4,3,25,3.807064
4,3,26,3.839238
4,3,27,3.8779695
4,3,28,3.9033095
4,3,29,3.9262455
4,3,30,3.9623905
4,4,1,1.026394
4,4,2,1.3646755
4,4,3,1.5672285
4,4,4,1.709217
4,4,5,1.8435095
4,4,6,1.9637355
4,4,7,2.084468
4,4,8,2.2022175
4,4,9,2.305986
4,4,10,2.418097
4,4,11,2.5008495
4,4,12,2.5973215
4,4,13,2.683528
4,4,14,2.7661445
4,4,15,2.844808
4,4,16,2.9193665
4,4,17,2.983743
4,4,18,3.058506
4,4,19,3.1180135
4,4,20,3.1833635
4,4,21,3.2412895
4,4,22,3.2898105
4,4,23,3.3459415
4,4,24,3.3915715
4,4,25,3.4297815
4,4,26,3.4651255
4,4,27,3.5121075
4,4,28,3.546008
4,4,29,3.5846365
4,4,30,3.621523
4,5,1,1.026394
4,5,2,1.353228
4,5,3,1.5401655
4,5,4,1.6631345
4,5,5,1.774028
4,5,6,1.868303
4,5,7,1.959376
4,5,8,2.048561
4,5,9,2.129792
4,5,10,2.215901
4,5,11,2.29166
4,5,12,2.3673665
4,5,13,2.435392
4,5,14,2.5065735
4,5,15,2.5716755
4,5,16,2.638782
4,5,17,2.6975845
4,5,18,2.7638615
4,5,19,2.8192715
4,5,20,2.8764105
4,5,21,2.9360345
4,5,22,2.989474
4,5,23,3.044253
4,5,24,3.0904105
4,5,25,3.132317
4,5,26,3.1739025
4,5,27,3.219558
4,5,28,3.2606185
4,5,29,3.2990055
4,5,30,3.3349225
4,6,1,1.026394
4,6,2,1.347047
4,6,3,1.5306695
4,6,4,1.6441675
4,6,5,1.7410835
4,6,6,1.821441
4,6,7,1.8974255
4,6,8,1.9753
4,6,9,2.040064
4,6,10,2.110752
4,6,11,2.1638365
4,6,12,2.2382775
4,6,13,2.288314
4,6,14,2.349592
4,6,15,2.409044
4,6,16,2.460061
4,6,17,2.507095
4,6,18,2.5733105
4,6,19,2.626787
4,6,20,2.675874
4,6,21,2.7307545
4,6,22,2.7740965
4,6,23,2.824766
4,6,24,2.8709535
4,6,25,2.915114
4,6,26,2.9520085
4,6,27,2.9986285
4,6,28,3.03334
4,6,29,3.071852
4,6,30,3.1105055
4,7,1,1.026394
4,7,2,1.346136
4,7,3,1.5243265
4,7,4,1.6306815
4,7,5,1.7163415
4,7,6,1.786422
4,7,7,1.851005
4,7,8,1.9158435
4,7,9,1.9720145
4,7,10,2.030641
4,7,11,2.077351
4,7,12,2.13365
4,7,13,2.1869055
4,7,14,2.2308025
4,7,15,2.283229
4,7,16,2.328869
4,7,17,2.3794255
4,7,18,2.426837
4,7,19,2.4736795
4,7,20,2.5165595
4,7,21,2.56159
4,7,22,2.6105755
4,7,23,2.654127
4,7,24,2.6960785
4,7,25,2.735286
4,7,26,2.7717335
4,7,27,2.81546
4,7,28,2.848431
4,7,29,2.8897085
4,7,30,2.923279
4,8,1,1.026394
4,8,2,1.346209
4,8,3,1.523063
4,8,4,1.6229825
4,8,5,1.7041155
4,8,6,1.768606
4,8,7,1.829262
4,8,8,1.881967
4,8,9,1.9323745
4,8,10,1.982098
4,8,11,2.0230875
4,8,12,2.069802
4,8,13,2.110657
4,8,14,2.1531
4,8,15,2.1981225
4,8,16,2.237994
4,8,17,2.279109
4,8,18,2.3278735
4,8,19,2.363879
4,8,20,2.404998
4,8,21,2.4421325
4,8,22,2.482259
4,8,23,2.524796
4,8,24,2.5631635
4,8,25,2.6017415
4,8,26,2.6323365
4,8,27,2.672407
4,8,28,2.7031975
4,8,29,2.737843
4,8,30,2.772422
4,9,1,1.026394
4,9,2,1.344058
4,9,3,1.519958
4,9,4,1.618238
4,9,5,1.695371
4,9,6,1.753688
4,9,7,1.80842
4,9,8,1.8581515
4,9,9,1.903894
4,9,10,1.945445
4,9,11,1.978795
4,9,12,2.0206565
4,9,13,2.057442
4,9,14,2.0947615
4,9,15,2.1337285
