n,k,m,distance
4,5,3,6.25400002
4,5,4,6.78950002
4,5,5,7.28650002
4,5,6,7.73700002
4,5,7,8.19000002
4,5,8,8.62450002
4,5,9,9.00750002
4,5,10,9.43050002
4,5,11,9.79450002
4,5,12,10.18000003
4,5,13,10.49100003
4,5,14,10.83650003
4,5,15,11.12550003
4,5,16,11.40000003
4,5,17,11.65700003
4,5,18,11.94200003
4,5,19,12.18150003
4,5,20,12.43150003
4,5,21,12.67050003
4,5,22,12.85550003
4,5,23,13.08500003
4,5,24,13.24500003
4,5,25,13.37950003
4,5,26,13.52100003
4,5,27,13.69700004
4,5,28,13.86200004
4,5,29,13.96900004
4,5,30,14.11200004
4,6,1,5.11400001
4,6,2,6.78650001
4,6,3,7.71400002
4,6,4,8.31700002
4,6,5,8.86000002
4,6,6,9.33250002
4,6,7,9.78800002
4,6,8,10.23700002
4,6,9,10.63400002
4,6,10,11.08250002
4,6,11,11.41750002
4,6,12,11.86750002
4,6,13,12.16450002
4,6,14,12.54500003
4,6,15,12.89050003
4,6,16,13.20600003
4,6,17,13.47450003
4,6,18,13.83800003
4,6,19,14.10450003
4,6,20,14.40550003
4,6,21,14.67800003
4,6,22,14.92650003
4,6,23,15.17650003
4,6,24,15.41650003
4,6,25,15.62650003
4,6,26,15.82950003
4,6,27,16.03450003
4,6,28,16.23450003
4,6,29,16.40850003
4,6,30,16.63900003
4,7,1,6.14400001
4,7,2,8.09900001
4,7,3,9.19850002
4,7,4,9.86550002
4,7,5,10.42000002
4,7,6,10.90000002
4,7,7,11.37800002
4,7,8,11.82900002
4,7,9,12.21800002
4,7,10,12.66050002
4,7,11,13.02200002
4,7,12,13.44700002
4,7,13,13.78400002
4,7,14,14.16100002
4,7,15,14.51250002
4,7,16,14.85600003
4,7,17,15.17800003
4,7,18,15.51550003
4,7,19,15.85000003
4,7,20,16.16650003
4,7,21,16.46700003
4,7,22,16.79150003
4,7,23,17.08400003
4,7,24,17.35550003
4,7,25,17.59700003
4,7,26,17.83300003
4,7,27,18.09600003
4,7,28,18.30000003
4,7,29,18.55550003
4,7,30,18.78550003
4,8,1,7.20700001
4,8,2,9.45400001
4,8,3,10.68500002
4,8,4,11.41450002
4,8,5,12.04300002
4,8,6,12.54250002
4,8,7,13.02250002
4,8,8,13.47550002
4,8,9,13.88100002
4,8,10,14.31600002
4,8,11,14.66200002
4,8,12,15.09850002
4,8,13,15.43600002
4,8,14,15.82150002
